Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,C3,FALSE,CL2142,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
27,C3,FALSE,CL2142,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
27,C3,FALSE,CL2142,pa_ther,UNKNOWN,NED,NFQ-MGB,35.228,35.388,3.219,49.884,104.781,133.538,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,31,Amp,,0.931,N,N,Y,N,Y,N,N,N
28,C4,FALSE,KN0925,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
28,C4,FALSE,KN0925,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
28,C4,FALSE,KN0925,pa_ther,UNKNOWN,NED,NFQ-MGB,Undetermined,34.821,,,,,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,44,No Amp,,0.000,Y,Y,Y,N,N,Y,N,N
29,C5,FALSE,KN0925,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
29,C5,FALSE,KN0925,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
29,C5,FALSE,KN0925,pa_ther,UNKNOWN,NED,NFQ-MGB,34.821,34.821,,62.431,62.431,,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,32,Amp,,0.994,N,N,Y,N,N,N,N,N
30,C6,FALSE,KN0925,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
30,C6,FALSE,KN0925,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
30,C6,FALSE,KN0925,pa_ther,UNKNOWN,NED,NFQ-MGB,Undetermined,34.821,,,,,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,44,No Amp,,0.000,Y,Y,Y,N,N,Y,N,N
31,C7,FALSE,KN1360,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
31,C7,FALSE,KN1360,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
31,C7,FALSE,KN1360,pa_ther,UNKNOWN,NED,NFQ-MGB,38.567,36.967,1.906,7.935,27.853,29.032,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,35,Amp,,0.873,N,N,Y,N,Y,N,N,N
32,C8,FALSE,KN1360,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
32,C8,FALSE,KN1360,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
